Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2019,FYTD,DEC,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,157.0
2020,FYTD,OCT,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,784.0
2019,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3313.0
2021,FYTD,APR,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,14415.0
2020,FYTD,JUN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,23.0
2019,FYTD,APR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,3971.0
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,280.0
2020,FYTD,SEP,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,935.0
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,2981.0
2020,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,139.0
2020,FYTD,APR,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,16.0
2021,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1661.0
2020,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,830.0
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,65.0
2021,FYTD,MAR,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,28.0
2019,FYTD,NOV,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,200.0
2021,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,835.0
2019,FYTD,APR,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,76.0
2021,FYTD,DEC,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,5.0
2020,FYTD,MAY,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,2.0
2020,FYTD,DEC,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2739.0
2021,FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,107.0
2019,FYTD,JUN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,41.0
2020,FYTD,JAN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,60.0
2021,FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,26.0
2020,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,346.0
2020,FYTD,JUN,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,27.0
2021,FYTD,MAY,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,4982.0
2020,FYTD,NOV,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,923.0
2019,FYTD,JUL,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,2187.0
2021,FYTD,JUN,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,16.0
2019,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,168.0
